OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;geometry;subject;region_name;regio_type;region_code;lon;lat
1.0;NietWonen;21.0;5000.0;4.849.801;52.380.596;POINT(52.380596,4.849801);;;;;;
2.0;Wonen;9.4;2000.0;4.980.629;52.296.628;POINT(52.296628,4.980629);;;;;;
3.0;Wonen;9.4;2000.0;4.970.498;522.995;POINT(52.2995,4.970498);;;;;;
4.0;Wonen;9.4;2000.0;4.941.263;52.370.706;POINT(52.370706,4.941263);;;;;;
5.0;NietWonen;35.0;9000.0;4.831.484;5.238.012;POINT(52.38012,4.831484);;;;;;
6.0;NietWonen;23.0;6000.0;4.764.079;52.395.212;POINT(52.395212,4.764079);;;;;;
7.0;NietWonen;7.0;2000.0;5.007.002;52.351.369;POINT(52.351369,5.007002);;;;;;
8.0;Wonen;10.0;2000.0;4.793.403;52.346.017;POINT(52.346017,4.793403);;;;;;
9.0;Wonen;9.4;2000.0;4.960.284;5.231.611;POINT(52.31611,4.960284);;;;;;
10.0;Wonen;9.4;2000.0;4.884.047;52.323.945;POINT(52.323945,4.884047);;;;;;
11.0;Wonen;9.4;2000.0;4.918.201;52.358.066;POINT(52.358066,4.918201);;;;;;
12.0;Wonen;9.4;2000.0;4.865.886;52.331.053;POINT(52.331053,4.865886);;;;;;
13.0;NietWonen;525.0;134000.0;4.806.131;52.367.943;POINT(52.367943,4.806131);;;;;;
14.0;Wonen;9.4;2000.0;48.073;52.343.369;POINT(52.343369,4.8073);;;;;;
15.0;NietWonen;48.0;12000.0;4.948.333;52.366.212;POINT(52.366212,4.948333);;;;;;
16.0;Wonen;9.4;2000.0;4.886.761;523.451;POINT(52.3451,4.886761);;;;;;
17.0;Wonen;9.4;2000.0;483.606;52.383.205;POINT(52.383205,4.83606);;;;;;
18.0;Wonen;9.4;2000.0;4.993.357;52.355.103;POINT(52.355103,4.993357);;;;;;
19.0;NietWonen;13.0;3000.0;4.849.743;52.381.677;POINT(52.381677,4.849743);;;;;;
20.0;Wonen;9.4;2000.0;4.893.075;52.346.083;POINT(52.346083,4.893075);;;;;;
21.0;Wonen;9.4;2000.0;477.989;52.347.296;POINT(52.347296,4.77989);;;;;;
22.0;Wonen;9.4;2000.0;4.791.682;52.382.055;POINT(52.382055,4.791682);;;;;;
23.0;Wonen;9.4;2000.0;486.313;52.325.514;POINT(52.325514,4.86313);;;;;;
24.0;Wonen;6.0;2000.0;4.856.746;5.238.336;POINT(52.38336,4.856746);;;;;;
25.0;NietWonen;110.0;28000.0;4.846.986;5.238.386;POINT(52.38386,4.846986);;;;;;
