OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
1;NietWonen;21;5000;4.849.801;52.380.596;POINT(52.380596,4.849801)
2;Wonen;9.4;2000;4.980.629;52.296.628;POINT(52.296628,4.980629)
3;Wonen;9.4;2000;4.970.498;522.995;POINT(52.2995,4.970498)
4;Wonen;9.4;2000;4.941.263;52.370.706;POINT(52.370706,4.941263)
5;NietWonen;35;9000;4.831.484;5.238.012;POINT(52.38012,4.831484)
6;NietWonen;23;6000;4.764.079;52.395.212;POINT(52.395212,4.764079)
7;NietWonen;7;2000;5.007.002;52.351.369;POINT(52.351369,5.007002)
8;Wonen;10;2000;4.793.403;52.346.017;POINT(52.346017,4.793403)
9;Wonen;9.4;2000;4.960.284;5.231.611;POINT(52.31611,4.960284)
10;Wonen;9.4;2000;4.884.047;52.323.945;POINT(52.323945,4.884047)
11;Wonen;9.4;2000;4.918.201;52.358.066;POINT(52.358066,4.918201)
12;Wonen;9.4;2000;4.865.886;52.331.053;POINT(52.331053,4.865886)
13;NietWonen;525;134000;4.806.131;52.367.943;POINT(52.367943,4.806131)
14;Wonen;9.4;2000;48.073;52.343.369;POINT(52.343369,4.8073)
15;NietWonen;48;12000;4.948.333;52.366.212;POINT(52.366212,4.948333)
16;Wonen;9.4;2000;4.886.761;523.451;POINT(52.3451,4.886761)
17;Wonen;9.4;2000;483.606;52.383.205;POINT(52.383205,4.83606)
18;Wonen;9.4;2000;4.993.357;52.355.103;POINT(52.355103,4.993357)
19;NietWonen;13;3000;4.849.743;52.381.677;POINT(52.381677,4.849743)
20;Wonen;9.4;2000;4.893.075;52.346.083;POINT(52.346083,4.893075)
21;Wonen;9.4;2000;477.989;52.347.296;POINT(52.347296,4.77989)
22;Wonen;9.4;2000;4.791.682;52.382.055;POINT(52.382055,4.791682)
23;Wonen;9.4;2000;486.313;52.325.514;POINT(52.325514,4.86313)
24;Wonen;6;2000;4.856.746;5.238.336;POINT(52.38336,4.856746)
25;NietWonen;110;28000;4.846.986;5.238.386;POINT(52.38386,4.846986)
26;NietWonen;29;7000;4.910.241;52.405.824;POINT(52.405824,4.910241)
27;Wonen;10;2000;4.864.257;52.331.144;POINT(52.331144,4.864257)
28;NietWonen;9.4;2000;4.836.917;52.381.002;POINT(52.381002,4.836917)
29;Wonen;17;4000;4.932.639;52.362.572;POINT(52.362572,4.932639)
30;NietWonen;135;33000;4.873.806;52.331.275;POINT(52.331275,4.873806)
31;Wonen;9.4;2000;493.014;52.409.699;POINT(52.409699,4.93014)
32;Wonen;9.4;2000;4.860.408;52.326.836;POINT(52.326836,4.860408)
33;Wonen;27;7000;4.931.828;52.362.718;POINT(52.362718,4.931828)
34;Wonen;9.4;2000;4.975.952;5.236.201;POINT(52.36201,4.975952)
35;Wonen;9.4;2000;4.994.065;52.352.747;POINT(52.352747,4.994065)
36;Wonen;6;1000;4.925.527;52.343.799;POINT(52.343799,4.925527)
37;Wonen;9.4;2000;4.947.994;52.389.276;POINT(52.389276,4.947994)
38;Wonen;12;3000;4.969.683;52.290.998;POINT(52.290998,4.969683)
39;NietWonen;6;1000;4.935.934;52.361.936;POINT(52.361936,4.935934)
40;Wonen;9.4;2000;4.984.575;52.325.269;POINT(52.325269,4.984575)
41;Wonen;9.4;2000;4.992.844;5.230.085;POINT(52.30085,4.992844)
42;Wonen;10;2000;4.852.022;52.356.191;POINT(52.356191,4.852022)
43;Wonen;9.4;2000;4.792.852;52.374.393;POINT(52.374393,4.792852)
44;Wonen;9.4;2000;4.837.881;52.382.887;POINT(52.382887,4.837881)
45;Wonen;9.4;2000;4.901.751;52.420.041;POINT(52.420041,4.901751)
46;Wonen;9;2000;4.941.459;52.363.188;POINT(52.363188,4.941459)
47;Wonen;9.4;2000;4.879.363;52.349.767;POINT(52.349767,4.879363)
48;Wonen;19;5000;4.801.516;52.380.884;POINT(52.380884,4.801516)
49;Wonen;9.4;2000;4.814.765;52.342.835;POINT(52.342835,4.814765)
50;Wonen;4;1000;4.937.362;52.364.853;POINT(52.364853,4.937362)
51;NietWonen;4;1000;4.848.093;52.375.258;POINT(52.375258,4.848093)
52;Wonen;9.4;2000;4.990.083;522.995;POINT(52.2995,4.990083)
53;NietWonen;10;3000;493.794;52.368.426;POINT(52.368426,4.93794)
54;NietWonen;68;17000;4.790.386;52.389.598;POINT(52.389598,4.790386)
55;NietWonen;51;12000;4.910.124;524.067;POINT(52.4067,4.910124)
56;Wonen;8;2000;4.926.287;52.355.435;POINT(52.355435,4.926287)
57;Wonen;9.4;2000;4.781.548;52.347.524;POINT(52.347524,4.781548)
58;NietWonen;9.4;2000;4.795.843;52.352.786;POINT(52.352786,4.795843)
