subject,region_name,regio_type,region_code,lon,lat
Amsterdam,Amsterdam,Gemeente,GM0363,4.87956802018358,52.38099994141871
Burgwallen-Oude Zijde,Amsterdam,Wijk,WK036300,4.8969427210672904,52.3725658613947
Kop Zeedijk,Amsterdam,Buurt,BU03630000,4.90027987394242,52.3759366048192
Oude Kerk e.o.,Amsterdam,Buurt,BU03630001,4.89615555420633,52.3737930709435
Burgwallen Oost,Amsterdam,Buurt,BU03630002,4.8987574379735,52.372815323859996
Nes e.o.,Amsterdam,Buurt,BU03630003,4.8937278185493,52.370860721591605
BG-terrein e.o.,Amsterdam,Buurt,BU03630004,4.89558364151976,52.3695459824432
Burgwallen-Nieuwe Zijde,Amsterdam,Wijk,WK036301,4.89551769883911,52.3757030174856
Stationsplein e.o.,Amsterdam,Buurt,BU03630100,4.9007236255048605,52.3796576630073
Hemelrijk,Amsterdam,Buurt,BU03630101,4.89492125593428,52.378147704919904
Nieuwendijk Noord,Amsterdam,Buurt,BU03630102,4.896945251329231,52.3769903597952
Spuistraat Noord,Amsterdam,Buurt,BU03630103,4.89119026138058,52.37513638421329
Nieuwe Kerk e.o.,Amsterdam,Buurt,BU03630104,4.89321209861715,52.3745022431676
Spuistraat Zuid,Amsterdam,Buurt,BU03630105,4.8892176988942495,52.3709961450619
Begijnhofbuurt,Amsterdam,Buurt,BU03630106,4.89128412546362,52.370703622803106
Kalverdriehoek,Amsterdam,Buurt,BU03630107,4.89131505226198,52.3679169428571
Grachtengordel-West,Amsterdam,Wijk,WK036302,4.8868360993224,52.3737092298168
Langestraat e.o.,Amsterdam,Buurt,BU03630200,4.88998548498602,52.378367755095994
Leliegracht e.o.,Amsterdam,Buurt,BU03630201,4.88707587732116,52.3755207604852
Felix Meritisbuurt,Amsterdam,Buurt,BU03630202,4.88549345647475,52.3713292075095
Leidsegracht Noord,Amsterdam,Buurt,BU03630203,4.884551666622531,52.3678510079562
Grachtengordel-Zuid,Amsterdam,Wijk,WK036303,4.89334883025967,52.3648205855338
Spiegelbuurt,Amsterdam,Buurt,BU03630300,4.887693788245911,52.364894641873995
Gouden Bocht,Amsterdam,Buurt,BU03630301,4.89112586151354,52.36534557893601
Van Loonbuurt,Amsterdam,Buurt,BU03630302,4.8930694875437,52.3635797876893
